,Faculty,Position,Gender,Management,Area,Excellence,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
51,Owen Noel Newton Fernando,Senior Lecturer,M,N,HCI,6,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['Ng Wee Keong', 'Rajapakse Jagath Chandana']","['Anupam Chattopadhyay', 'Seah Hock Soon', 'Ng Wee Keong', 'Rajapakse Jagath Chandana']","['Ng Wee Keong', 'Rajapakse Jagath Chandana', 'Anupam Chattopadhyay', 'Seah Hock Soon']","['Ng Wee Keong', 'Rajapakse Jagath Chandana', 'Anupam Chattopadhyay', 'Seah Hock Soon']"
52,Pan Sinno Jialin,Associate Professor,M,N,AI/ML,7,[],[],[],[],[],[],[],[],[],[],[],['Guan Cuntai'],['Guan Cuntai'],['Guan Cuntai'],['Guan Cuntai'],['Guan Cuntai'],['Guan Cuntai'],"['Luo Jun', 'Guan Cuntai']","['Luo Jun', 'Bo An', 'Miao Chunyan', 'Lin Guosheng', 'Guan Cuntai']","['Luo Jun', 'Sun Aixin', 'Miao Chunyan', 'Guan Cuntai', 'Bo An', 'Lin Guosheng']","['Guan Cuntai', 'Luo Jun', 'Bo An', 'Miao Chunyan', 'Lin Guosheng', 'Sun Aixin']","['Miao Chunyan', 'Guan Cuntai', 'Luo Jun', 'Bo An', 'Lin Guosheng', 'Sun Aixin']"
53,Qian Kemao,Associate Professor,M,N,Computer Vision,2,[],[],[],[],[],[],['Seah Hock Soon'],['Seah Hock Soon'],['Seah Hock Soon'],"['Lin Feng', 'Seah Hock Soon']","['Seah Hock Soon', 'Lin Feng']","['Seah Hock Soon', 'Lin Feng']","['Lin Feng', 'Seah Hock Soon']","['Seah Hock Soon', 'Lin Feng']","['Lin Feng', 'Seah Hock Soon']","['Lin Feng', 'Seah Hock Soon']","['Seah Hock Soon', 'Lin Feng']","['Lin Feng', 'Seah Hock Soon']","['Seah Hock Soon', 'Lin Feng']","['Seah Hock Soon', 'Lin Feng']","['Seah Hock Soon', 'Lin Feng']","['Seah Hock Soon', 'Lin Feng']"
54,Quek Hiok Chai,Associate Professor,M,N,AI/ML,0,[],[],[],[],[],[],['Douglas Leslie Maskell'],['Douglas Leslie Maskell'],"['Guan Cuntai', 'Douglas Leslie Maskell']","['Guan Cuntai', 'Douglas Leslie Maskell']","['Douglas Leslie Maskell', 'Guan Cuntai']","['Douglas Leslie Maskell', 'Guan Cuntai']","['Guan Cuntai', 'Douglas Leslie Maskell']","['Guan Cuntai', 'Douglas Leslie Maskell']","['Guan Cuntai', 'Douglas Leslie Maskell']","['Guan Cuntai', 'Douglas Leslie Maskell']","['Deepu Rajan', 'Douglas Leslie Maskell', 'Guan Cuntai']","['Goh Wooi Boon', 'Deepu Rajan', 'Chia Liang Tien Clement', 'Tan Ah Hwee', 'Miao Chunyan', 'Douglas Leslie Maskell', 'Guan Cuntai']","['Tan Ah Hwee', 'Miao Chunyan', 'Deepu Rajan', 'Douglas Leslie Maskell', 'Guan Cuntai', 'Goh Wooi Boon', 'Chia Liang Tien Clement']","['Deepu Rajan', 'Douglas Leslie Maskell', 'Guan Cuntai', 'Goh Wooi Boon', 'Chia Liang Tien Clement', 'Tan Ah Hwee', 'Miao Chunyan']","['Guan Cuntai', 'Deepu Rajan', 'Douglas Leslie Maskell', 'Goh Wooi Boon', 'Chia Liang Tien Clement', 'Tan Ah Hwee', 'Miao Chunyan']","['Douglas Leslie Maskell', 'Guan Cuntai', 'Deepu Rajan', 'Goh Wooi Boon', 'Chia Liang Tien Clement', 'Tan Ah Hwee', 'Miao Chunyan']"
55,Rajapakse Jagath Chandana,Professor,M,N,Bioinformatics,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['Owen Noel Newton Fernando', 'Erik Cambria']","['Owen Noel Newton Fernando', 'Erik Cambria']","['Owen Noel Newton Fernando', 'Erik Cambria']","['Owen Noel Newton Fernando', 'Erik Cambria']"
56,Seah Hock Soon,Professor,M,Y,Computer Graphics,0,['Lin Feng'],['Lin Feng'],['Lin Feng'],['Lin Feng'],"['Alexei Sourin', 'Lin Feng']","['Zheng Jianmin', 'Lin Feng', 'Alexei Sourin']","['Lin Feng', 'Qian Kemao', 'Alexei Sourin', 'Zheng Jianmin']","['He Ying', 'Lin Feng', 'Alexei Sourin', 'Zheng Jianmin', 'Qian Kemao']","['He Ying', 'Lin Feng', 'Alexei Sourin', 'Zheng Jianmin', 'Qian Kemao']","['He Ying', 'Lin Feng', 'Qian Kemao', 'Alexei Sourin', 'Zheng Jianmin']","['Lin Feng', 'He Ying', 'Zheng Jianmin', 'Cai Wentong', 'Alexei Sourin', 'Qian Kemao']","['Lin Weisi', 'He Ying', 'Lin Feng', 'Alexei Sourin', 'Zheng Jianmin', 'Qian Kemao', 'Cai Wentong']","['He Ying', 'Lin Feng', 'Qian Kemao', 'Lin Weisi', 'Alexei Sourin', 'Zheng Jianmin', 'Cai Wentong']","['Cong Gao', 'Lin Weisi', 'Lin Feng', 'Alexei Sourin', 'Zheng Jianmin', 'Qian Kemao', 'He Ying', 'Cai Wentong']","['Lin Feng', 'Qian Kemao', 'Lin Weisi', 'Alexei Sourin', 'Zheng Jianmin', 'He Ying', 'Cai Wentong', 'Cong Gao']","['Lin Weisi', 'Lin Feng', 'Qian Kemao', 'Alexei Sourin', 'Zheng Jianmin', 'He Ying', 'Cai Wentong', 'Cong Gao']","['Lin Feng', 'Alexei Sourin', 'Zheng Jianmin', 'Qian Kemao', 'He Ying', 'Cai Wentong', 'Lin Weisi', 'Cong Gao']","['Lin Feng', 'Qian Kemao', 'Thambipillai Srikanthan', 'Alexei Sourin', 'Zheng Jianmin', 'He Ying', 'Cai Wentong', 'Lin Weisi', 'Cong Gao']","['Lin Feng', 'Zheng Jianmin', 'Alexei Sourin', 'Qian Kemao', 'He Ying', 'Cai Wentong', 'Lin Weisi', 'Cong Gao', 'Thambipillai Srikanthan']","['Zheng Jianmin', 'Lin Feng', 'Owen Noel Newton Fernando', 'Anupam Chattopadhyay', 'Alexei Sourin', 'Qian Kemao', 'He Ying', 'Cai Wentong', 'Lin Weisi', 'Cong Gao', 'Thambipillai Srikanthan']","['Lin Feng', 'Alexei Sourin', 'Zheng Jianmin', 'Qian Kemao', 'He Ying', 'Cai Wentong', 'Lin Weisi', 'Cong Gao', 'Thambipillai Srikanthan', 'Owen Noel Newton Fernando', 'Anupam Chattopadhyay']","['Lin Feng', 'Alexei Sourin', 'Zheng Jianmin', 'Qian Kemao', 'He Ying', 'Cai Wentong', 'Lin Weisi', 'Cong Gao', 'Thambipillai Srikanthan', 'Owen Noel Newton Fernando', 'Anupam Chattopadhyay']"
57,Smitha K G,Lecturer,F,N,Computer Architecture,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
58,Sourav S Bhowmick,Associate Professor,M,N,Data Management,29,['Ng Wee Keong'],['Ng Wee Keong'],['Ng Wee Keong'],['Ng Wee Keong'],"['Ng Wee Keong', 'Chia Liang Tien Clement']","['Chia Liang Tien Clement', 'Ng Wee Keong']","['Chia Liang Tien Clement', 'Sun Aixin', 'Ng Wee Keong']","['Chia Liang Tien Clement', 'Ng Wee Keong', 'Sun Aixin']","['Ng Wee Keong', 'Chia Liang Tien Clement', 'Sun Aixin']","['Sun Aixin', 'Ng Wee Keong', 'Chia Liang Tien Clement']","['Sun Aixin', 'Ng Wee Keong', 'Chia Liang Tien Clement']","['Sun Aixin', 'Ng Wee Keong', 'Chia Liang Tien Clement']","['Sun Aixin', 'Ng Wee Keong', 'Chia Liang Tien Clement']","['Sun Aixin', 'Ng Wee Keong', 'Chia Liang Tien Clement']","['Sun Aixin', 'Cong Gao', 'Ng Wee Keong', 'Chia Liang Tien Clement']","['Sun Aixin', 'Ng Wee Keong', 'Chia Liang Tien Clement', 'Cong Gao']","['Cong Gao', 'Miao Chunyan', 'Ng Wee Keong', 'Chia Liang Tien Clement', 'Sun Aixin']","['Arijit Khan', 'Cong Gao', 'Ng Wee Keong', 'Chia Liang Tien Clement', 'Sun Aixin', 'Miao Chunyan']","['Cong Gao', 'Sun Aixin', 'Ng Wee Keong', 'Chia Liang Tien Clement', 'Miao Chunyan', 'Arijit Khan']","['Zhao Jun', 'Joty Shafiq Rayhan', 'Ng Wee Keong', 'Chia Liang Tien Clement', 'Sun Aixin', 'Cong Gao', 'Miao Chunyan', 'Arijit Khan']","['Cong Gao', 'Ng Wee Keong', 'Chia Liang Tien Clement', 'Sun Aixin', 'Miao Chunyan', 'Arijit Khan', 'Zhao Jun', 'Joty Shafiq Rayhan']","['Ng Wee Keong', 'Chia Liang Tien Clement', 'Sun Aixin', 'Cong Gao', 'Miao Chunyan', 'Arijit Khan', 'Zhao Jun', 'Joty Shafiq Rayhan']"
59,Sourav Sen Gupta,Lecturer,M,N,Cyber Security,0,[],[],[],[],[],[],[],[],[],[],[],['Anupam Chattopadhyay'],['Anupam Chattopadhyay'],['Anupam Chattopadhyay'],['Anupam Chattopadhyay'],['Anupam Chattopadhyay'],['Anupam Chattopadhyay'],['Anupam Chattopadhyay'],"['Anupam Chattopadhyay', 'Lam Kwok Yan', 'Ong Yew Soon']","['Anupam Chattopadhyay', 'Lam Kwok Yan', 'Ong Yew Soon']","['Arijit Khan', 'Anupam Chattopadhyay', 'Lam Kwok Yan', 'Ong Yew Soon']","['Anupam Chattopadhyay', 'Lam Kwok Yan', 'Ong Yew Soon', 'Arijit Khan']"
60,Sun Aixin,Associate Professor,M,N,Information Retrieval,30,[],[],['Ng Wee Keong'],['Ng Wee Keong'],['Ng Wee Keong'],['Ng Wee Keong'],"['Tang Xueyan', 'Sourav S Bhowmick', 'Ng Wee Keong']","['Ng Wee Keong', 'Tang Xueyan', 'Sourav S Bhowmick']","['Anwitaman Datta', 'Ng Wee Keong', 'Tang Xueyan', 'Sourav S Bhowmick']","['Anwitaman Datta', 'Sourav S Bhowmick', 'Ng Wee Keong', 'Tang Xueyan']","['Sourav S Bhowmick', 'Anwitaman Datta', 'Ng Wee Keong', 'Tang Xueyan']","['Sourav S Bhowmick', 'Anwitaman Datta', 'Ng Wee Keong', 'Tang Xueyan']","['Cong Gao', 'Anwitaman Datta', 'Sourav S Bhowmick', 'Lee Bu Sung Francis', 'Ng Wee Keong', 'Tang Xueyan']","['Anwitaman Datta', 'Cong Gao', 'Sourav S Bhowmick', 'Ng Wee Keong', 'Tang Xueyan', 'Lee Bu Sung Francis']","['Sourav S Bhowmick', 'Cong Gao', 'Miao Chunyan', 'Ng Wee Keong', 'Tang Xueyan', 'Anwitaman Datta', 'Lee Bu Sung Francis']","['Sourav S Bhowmick', 'Cong Gao', 'Miao Chunyan', 'Ng Wee Keong', 'Tang Xueyan', 'Anwitaman Datta', 'Lee Bu Sung Francis']","['Cong Gao', 'Ng Wee Keong', 'Tang Xueyan', 'Sourav S Bhowmick', 'Anwitaman Datta', 'Lee Bu Sung Francis', 'Miao Chunyan']","['Erik Cambria', 'Cong Gao', 'Ng Wee Keong', 'Tang Xueyan', 'Sourav S Bhowmick', 'Anwitaman Datta', 'Lee Bu Sung Francis', 'Miao Chunyan']","['Tang Xueyan', 'Cong Gao', 'Joty Shafiq Rayhan', 'Sourav S Bhowmick', 'Ng Wee Keong', 'Anwitaman Datta', 'Lee Bu Sung Francis', 'Miao Chunyan', 'Erik Cambria']","['Luo Jun', 'Pan Sinno Jialin', 'Tang Xueyan', 'Cong Gao', 'Ng Wee Keong', 'Sourav S Bhowmick', 'Anwitaman Datta', 'Lee Bu Sung Francis', 'Miao Chunyan', 'Erik Cambria', 'Joty Shafiq Rayhan']","['Tang Xueyan', 'Chng Eng Siong', 'Ng Wee Keong', 'Sourav S Bhowmick', 'Anwitaman Datta', 'Cong Gao', 'Lee Bu Sung Francis', 'Miao Chunyan', 'Erik Cambria', 'Joty Shafiq Rayhan', 'Luo Jun', 'Pan Sinno Jialin']","['Ng Wee Keong', 'Tang Xueyan', 'Sourav S Bhowmick', 'Anwitaman Datta', 'Cong Gao', 'Lee Bu Sung Francis', 'Miao Chunyan', 'Erik Cambria', 'Joty Shafiq Rayhan', 'Luo Jun', 'Pan Sinno Jialin', 'Chng Eng Siong']"
