,Faculty,Position,Gender,Management,Area,Excellence,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
72,Zhao Jun,Assistant Professor,M,N,Computer Networks,3,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Dusit Niyato'],"['Dusit Niyato', 'Hui Siu Cheung', 'Li Mo', 'Sourav S Bhowmick', 'Tan Rui', 'Lam Kwok Yan', 'Yu Han']","['Dusit Niyato', 'Yu Han', 'Lam Kwok Yan']","['Lam Kwok Yan', 'Dusit Niyato', 'Tan Rui']"
73,Zheng Jianmin,Associate Professor,M,N,Computer Graphics,5,[],[],[],[],[],['Seah Hock Soon'],[],['Cai Jianfei'],['Cai Jianfei'],['Cai Jianfei'],"['Cai Jianfei', 'Seah Hock Soon']","['Cai Jianfei', 'Lin Weisi']",['Cai Jianfei'],"['Cai Jianfei', 'Cham Tat Jen']",['Cai Jianfei'],"['Cai Jianfei', 'Cham Tat Jen']","['Cai Jianfei', 'Lu Shijian']","['Cai Jianfei', 'Cham Tat Jen']","['Cai Jianfei', 'Cham Tat Jen', 'Seah Hock Soon']","['He Ying', 'Seah Hock Soon', 'Cai Jianfei', 'Cham Tat Jen']","['Cai Jianfei', 'Cham Tat Jen']",[]
74,Zinovi Rabinovich,Assistant Professor,M,N,AI/ML,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Lana Obraztsova '],['Lana Obraztsova '],['Lana Obraztsova '],['Lana Obraztsova '],[],"['Lana Obraztsova ', 'Bo An']",['Bo An'],"['Lana Obraztsova ', 'Bo An']"
75,Miao Chunyan,Professor,F,Y,AI/ML,9,['Shen Zhiqi'],[],['Shen Zhiqi'],[],['Shen Zhiqi'],"['Bo An', 'Shen Zhiqi']","['Shen Zhiqi', 'Bo An', 'Tan Ah Hwee', 'Lee Bu Sung Francis']","['Bo An', 'Shen Zhiqi', 'Tan Ah Hwee', 'Yu Han']","['Yu Han', 'Shen Zhiqi', 'Lee Bu Sung Francis', 'Tan Ah Hwee']","['Shen Zhiqi', 'Lee Bu Sung Francis', 'Yu Han', 'Tan Ah Hwee', 'Boyang Li']","['Tan Ah Hwee', 'Shen Zhiqi', 'Boyang Li', 'Yu Han', 'Dusit Niyato', 'Ong Yew Soon', 'Huang Shell Ying']","['Shen Zhiqi', 'Yu Han', 'Zhang Jie', 'Tan Ah Hwee', 'Huang Shell Ying']","['Shen Zhiqi', 'Tan Ah Hwee', 'Ong Yew Soon', 'Yu Han', 'Bo An', 'Cong Gao']","['Yu Han', 'Shen Zhiqi', 'Bo An', 'He Ying']","['Zhang Jie', 'Yu Han', 'Shen Zhiqi', 'Bo An', 'Sun Aixin']","['Yu Han', 'Zhang Jie', 'Shen Zhiqi', 'Bo An', 'Tan Ah Hwee', 'Sun Aixin']","['He Ying', 'Yu Han', 'Shen Zhiqi', 'Cong Gao', 'Bo An', 'Tan Ah Hwee', 'Sourav S Bhowmick']","['Yu Han', 'Shen Zhiqi', 'Bo An', 'Dusit Niyato', 'Cong Gao', 'Tan Ah Hwee', 'Chng Eng Siong', 'Wen Yonggang', 'Quek Hiok Chai']","['Quek Hiok Chai', 'Tan Ah Hwee', 'Shen Zhiqi', 'Yu Han', 'Lee Bu Sung Francis', 'Bo An', 'Pan Sinno Jialin', 'Ong Yew Soon', 'Wen Yonggang']","['Tan Ah Hwee', 'Yu Han', 'Pan Sinno Jialin', 'Shen Zhiqi', 'Zhang Hanwang', 'Dusit Niyato']","['Yu Han', 'Dusit Niyato', 'Tan Ah Hwee', 'Shen Zhiqi', 'Zhang Hanwang', 'Lin Guosheng', 'Joty Shafiq Rayhan', 'Boyang Li']","['Pan Sinno Jialin', 'Boyang Li', 'Yu Han']"
76,Thambipillai Srikanthan,Professor,M,Y,Computer Architecture,0,['Lam Siew Kei'],['Lam Siew Kei'],['Lam Siew Kei'],['Lam Siew Kei'],['Lam Siew Kei'],['Lam Siew Kei'],"['Lam Siew Kei', 'Douglas Leslie Maskell']","['Lam Siew Kei', 'Douglas Leslie Maskell', 'Goh Wooi Boon']",['Lam Siew Kei'],['Lam Siew Kei'],['Lam Siew Kei'],['Lam Siew Kei'],['Lam Siew Kei'],"['Lam Siew Kei', 'Lin Weisi']",['Lam Siew Kei'],['Lam Siew Kei'],"['Lam Siew Kei', 'Anupam Chattopadhyay']","['Lam Siew Kei', 'Seah Hock Soon']",['Lam Siew Kei'],['Lam Siew Kei'],['Lam Siew Kei'],[]
77,Ong Yew Soon,Professor,M,Y,AI/ML,3,[],[],[],['Cai Wentong'],"['Lee Bu Sung Francis', 'Cai Wentong']","['Cai Wentong', 'Lee Bu Sung Francis']","['Lee Bu Sung Francis', 'Kwoh Chee Keong']",['Lee Bu Sung Francis'],"['Tan Ah Hwee', 'Boyang Li', 'Kwoh Chee Keong']",['Kwoh Chee Keong'],"['Tan Ah Hwee', 'Kwoh Chee Keong', 'Miao Chunyan']","['Tan Ah Hwee', 'Cai Wentong', 'Zhang Jie', 'Kwoh Chee Keong']","['Kwoh Chee Keong', 'Zhang Jie', 'Tan Ah Hwee', 'Miao Chunyan']","['Kwoh Chee Keong', 'Erik Cambria', 'Tan Ah Hwee', 'Zhang Jie', 'Wen Yonggang']",['Zhang Jie'],"['Wen Yonggang', 'Tan Ah Hwee', 'Zhang Jie', 'Cai Wentong']","['Erik Cambria', 'Cai Wentong']","['Cai Jianfei', 'Ke Yiping Kelly']","['Wen Yonggang', 'Cai Jianfei', 'Miao Chunyan', 'Ke Yiping Kelly', 'Liu Yang', 'Mahardhika Pratama', 'Sourav Sen Gupta']","['Cai Jianfei', 'Mahardhika Pratama']","['Mahardhika Pratama', 'Erik Cambria', 'Cai Jianfei', 'Cai Wentong', 'Zhang Jie', 'Ke Yiping Kelly', 'Loy Chen Change']",['Cai Jianfei']
78,Shen Zhiqi,Senior Lecturer,M,N,AI/ML,7,['Miao Chunyan'],[],['Miao Chunyan'],[],['Miao Chunyan'],"['Bo An', 'Miao Chunyan']","['Miao Chunyan', 'Bo An', 'Tan Ah Hwee']","['Bo An', 'Miao Chunyan', 'Tan Ah Hwee', 'Yu Han']","['Yu Han', 'Miao Chunyan', 'Tan Ah Hwee']","['Miao Chunyan', 'Lee Bu Sung Francis', 'Yu Han', 'Tan Ah Hwee', 'Boyang Li']","['Miao Chunyan', 'Tan Ah Hwee', 'Boyang Li', 'Yu Han', 'Dusit Niyato', 'Huang Shell Ying']","['Miao Chunyan', 'Yu Han', 'Tan Ah Hwee']","['Miao Chunyan', 'Yu Han', 'Bo An']","['Yu Han', 'Miao Chunyan', 'Bo An']","['Yu Han', 'Miao Chunyan', 'Bo An']","['Yu Han', 'Miao Chunyan', 'Bo An', 'Boyang Li']","['Miao Chunyan', 'Yu Han']","['Yu Han', 'Miao Chunyan', 'Chng Eng Siong']","['Yu Han', 'Miao Chunyan']","['Miao Chunyan', 'Yu Han']","['Yu Han', 'Miao Chunyan']",[]
79,Tay Kian Boon,Senior Lecturer,M,N,Cyber Security,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
80,Wen Yonggang,Professor,M,N,Multimedia,12,[],[],[],[],[],[],[],[],[],[],[],['Cai Jianfei'],"['Cai Jianfei', 'Ng Wee Keong']","['Ong Yew Soon', 'Cai Jianfei']","['Cai Jianfei', 'Dusit Niyato']","['Dusit Niyato', 'Ong Yew Soon', 'Cai Jianfei']",['Lin Weisi'],"['Dusit Niyato', 'Cai Jianfei', 'Miao Chunyan']","['Ong Yew Soon', 'Cai Jianfei', 'Yu Han', 'Miao Chunyan', 'Dusit Niyato']","['Dusit Niyato', 'Tan Rui']","['Tan Rui', 'Dusit Niyato', 'Zhang Tianwei']",[]
81,Zhang Tianwei,Assistant Professor,M,N,Cyber Security,6,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['Liu Yang', 'Wen Yonggang']",[]
82,Boyang Li,Associate Professor,M,N,AI/ML,6,[],[],[],[],[],[],[],[],['Ong Yew Soon'],"['Yu Han', 'Shen Zhiqi', 'Miao Chunyan']","['Miao Chunyan', 'Tan Ah Hwee', 'Shen Zhiqi']",[],[],[],[],"['Yu Han', 'Shen Zhiqi']",[],[],[],[],['Miao Chunyan'],"['Yu Han', 'Miao Chunyan']"
83,Liu Zhiwei,Assistant Professor,M,N,Computer Vision,4,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Arvind Easwaran'],[]
84,Luu Anh Tuan,Assistant Professor,M,N,AI/ML,6,[],[],[],[],[],[],[],[],[],[],[],[],['Liu Yang'],[],[],[],['Hui Siu Cheung'],['Hui Siu Cheung'],['Hui Siu Cheung'],['Hui Siu Cheung'],[],['Hui Siu Cheung']
